episode,deltaT,maxRadius,avgRadius,numUnknownSlots,propUnknown,numSamples,totalNumSamples,modelErrL1,trueValueGap
491,25.0,2.0,1.8057676242462528,20,1.0,17,7165,0.8,NaN
501,25.0,2.0,1.8057049300402745,20,1.0,17,7335,0.8,NaN
511,25.0,2.0,1.8056443889107736,20,1.0,17,7505,0.8,NaN
521,25.0,2.0,1.8055857104608417,20,1.0,17,7675,0.8,NaN
531,25.0,2.0,1.805529005309192,20,1.0,17,7845,0.8,NaN
541,25.0,2.0,1.8054739050485817,20,1.0,17,8015,0.8,NaN
551,25.0,2.0,1.805420432010536,20,1.0,17,8185,0.8,NaN
561,25.0,2.0,1.8053687959767544,20,1.0,17,8355,0.8,NaN
571,25.0,2.0,1.8053185885675223,20,1.0,17,8525,0.8,NaN
581,25.0,2.0,1.805269760890092,20,1.0,17,8695,0.8,NaN
591,25.0,2.0,1.8052223448756268,20,1.0,17,8865,0.8,NaN
601,25.0,2.0,1.805176248349218,20,1.0,17,9035,0.8,NaN
611,25.0,2.0,1.8051313291987756,20,1.0,17,9205,0.8,NaN
621,25.0,2.0,1.8050876562901308,20,1.0,17,9375,0.8,NaN
631,25.0,2.0,1.8050451574477204,20,1.0,17,9545,0.8,NaN
641,25.0,2.0,1.8050037508540673,20,1.0,17,9715,0.8,NaN
651,25.0,2.0,1.8049634121766283,20,1.0,17,9885,0.8,NaN
661,25.0,2.0,1.8049239670187678,20,1.0,17,10055,0.8,NaN
671,25.0,2.0,1.8048855777935242,20,1.0,17,10225,0.8,NaN
681,25.0,2.0,1.804848055854075,20,1.0,17,10395,0.8,NaN
691,25.0,2.0,1.8048114547750145,20,1.0,17,10565,0.8,NaN
701,25.0,2.0,1.804775744028141,20,1.0,17,10735,0.8,NaN
711,25.0,2.0,1.8047407928912382,20,1.0,17,10905,0.8,NaN
721,25.0,2.0,1.8047065438018808,20,1.0,17,11075,0.8,NaN
731,25.0,2.0,1.8046731360821333,20,1.0,17,11245,0.8,NaN
741,25.0,2.0,1.8046404829925173,20,1.0,17,11415,0.8,NaN
751,25.0,2.0,1.8046084820293742,20,1.0,17,11585,0.8,NaN
761,25.0,2.0,1.8045772401279385,20,1.0,17,11755,0.8,NaN
771,25.0,2.0,1.804546635229095,20,1.0,17,11925,0.8,NaN
781,25.0,2.0,1.8045157774776353,20,1.0,18,12100,0.8,NaN
791,25.0,2.0,1.8044847904001862,20,1.0,18,12280,0.8,NaN
801,25.0,2.0,1.8044544283631194,20,1.0,18,12460,0.8,NaN
811,25.0,2.0,1.80442470579064,20,1.0,18,12640,0.8,NaN
821,25.0,2.0,1.8043955396328504,20,1.0,18,12820,0.8,NaN
